Year,Inflation,Total US,US Large,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,Custom Portfolio 1,Custom Portfolio 2,Custom Portfolio 3,Custom Portfolio 4,Custom Portfolio 5,Engineered Tax-Free 20 Year,Engineered Tax-Free 10 Year,Engineered Tax-Free 5 Year,Engineered Tax-Free 3 Year,Engineered Tax-Free 2 Year,Engineered Tax-Free 1 Year,Engineered Taxable 20 Year,Engineered Taxable 10 Year,Engineered Taxable 5 Year,Engineered Taxable 3 Year,Engineered Taxable 2 Year,Engineered Taxable 1 Year,Engineer Chris's 401k,Engineer Chris's Taxable,Engineer Steve's Utah 529 Plan,Engineer Steve's 401k,Engineer Steve's IRA,Engineer Steve's Taxable Savings,Simply Engineered Tax-Free 20 Year,Simply Engineered Tax-Free 10 Year,Simply Engineered Tax-Free 5 Year,Simply Engineered Tax-Free 3 Year,Simply Engineered Tax-Free 2 Year,Simply Engineered Tax-Free 1 Year,Simply Engineered Taxable 20 Year,Simply Engineered Taxable 10 Year,Simply Engineered Taxable 5 Year,Simply Engineered Taxable 3 Year,Simply Engineered Taxable 2 Year,Simply Engineered Taxable 1 Year,Wealthfront Tax-Free 10,Wealthfront Tax-Free 8.5,Wealthfront Tax-Free 6,Wealthfront Tax-Free 3,Wealthfront Tax-Free 0.5,Wealthfront Taxable 10,Wealthfront Taxable 8.5,Wealthfront Taxable 6,Wealthfront Taxable 3,Wealthfront Taxable 0.5,Betterment Tax-Free 100% Stocks,Betterment Tax-Free 90% Stocks,Betterment Tax-Free 70% Stocks,Betterment Tax-Free 50% Stocks,Betterment Tax-Free 30% Stocks,Betterment Tax-Free 10% Stocks,Betterment Taxable 100% Stocks,Betterment Taxable 90% Stocks,Betterment Taxable 70% Stocks,Betterment Taxable 50% Stocks,Betterment Taxable 30% Stocks,Betterment Taxable 10% Stocks,Vanguard Aggressive Growth,Vanguard Growth,Vanguard Moderate Growth,Vanguard Conservative Growth,Vanguard Income,Vanguard Conservative Income,Bill Bernstein No Brainer,Bill Bernstein Smart Money,Rick Ferri Core Four,David Swenson Yale Endowment,Ted Aronson Family Taxable,Scott Burns Five Fold,Scott Burns Six Ways from Sunday,FundAdvice Ultimate Buy & Hold,Bill Schultheis Coffe House,Larry Swedroe Simple Portfolio,Harry Browne Permanent,Ray Dalio All-Weather Portfolio
1972,0.03406325999999993,0.13306932799999993,0.15403578099999993,0.11459591000000002,0.04123981100000007,0.07924301299999992,0.05159000600000008,0.07359181299999995,0.11459591000000002,0.04313602200000011,0.15403578099999993,0.15403578099999993,0.15403578099999993,0.3467489530000001,0.3277111429999999,0.32403673999999993,0.6023662009999999,0.462996443,0.462996443,0.462996443,0.11903925400000004,0.10661314899999996,0.32513674000000004,0.462996443,0.4497367400000001,0.37963674000000003,0.09471812499999999,0.05379831200000007,-0.001963260300000047,0.02124824099999989,-0.060011364099999964,0.02124824099999989,-0.05856674819999996,-0.003863260299999949,-0.0028360037000000338,0.00300338,0.13915531399999992,0.20529950499999994,0.24801493800000007,0.15966529799999996,0.15457635700000005,0.316689247,0.315363276,0.1911818970000001,0.1272706240000001,0.07674252699999995,0.05407869800000009,0.316689247,0.178712333,0.1442362239999999,0.10917502099999998,0.05477269200000001,0.050258571000000085,0.22385780499999997,0.27491429700000003,0.15035938800000004,0.24246995000000005,0.23599454399999997,0.12371528899999995,0.34967563599999996,0.24536299699999997,0.142703142,0.150482177,0.1077809569999999,0.10646773800000009,0.27557688999999996,0.287883503,0.14073836000000006,0.153849291,0.1343384649999999,0.10646773800000009,0.24982687599999998,0.20444235599999994,0.1654613570000001,0.11490291099999994,0.053928581000000086,0.2669920349999999,0.2330611359999999,0.18980572800000006,0.12756440199999997,0.07153875100000007,0.247584295,0.223031749,0.177693227,0.12940965100000001,0.07613662199999993,0.023424188999999984,0.247584295,0.222929025,0.17743147799999992,0.1289030819999999,0.075841512,0.023339063000000104,0.21854117799999995,0.18178845499999996,0.14393478299999996,0.1064292,0.06848629599999989,0.0006298149999999225,0.132625231,0.09789110499999998,0.154793556,0.10306777900000008,0.135927146,0.10334825000000003,0.11151897899999996,0.1656362629999999,0.08686914500000009,0.071574947,0.1318106750000001,0.07811762100000008
1973,0.08705882400000009,-0.2693671302,-0.23542144330000003,-0.18545587689999998,-0.3238343844,-0.22282118750000002,-0.411239707,-0.3328983792,-0.18545587689999998,-0.24425012609999996,-0.23542144330000003,-0.23542144330000003,-0.23542144330000003,-0.23628053569999996,-0.23682403480000003,-0.2396588235,-0.22711939940000003,-0.22789406720000005,-0.22789406720000005,-0.22789406720000005,-0.24225772850000005,-0.058336371,-0.34985882349999997,-0.22789406720000005,0.638241176,0.6494411760000001,-0.08837022530000005,-0.07286757619999995,-0.07265882349999997,-0.05471058070000001,-0.1269789832,-0.05471058070000001,-0.07767758599999997,-0.051258823499999995,-0.04250438079999996,-0.019020058399999984,-0.005458721500000041,-0.18065353490000002,-0.19818673669999998,-0.1635500394,-0.13355931710000002,-0.2112742633,-0.12466073899999996,-0.07998978769999998,-0.045937845099999985,-0.028714551300000002,0.01014530800000002,-0.2112742633,-0.14656927249999996,-0.10527280750000001,-0.0254255189,-0.028878024499999988,0.0009532880000000521,-0.11372356480000001,-0.15681460940000003,-0.27398230339999996,-0.19862817079999995,-0.22837677219999997,-0.029310984700000042,-0.05500298420000005,-0.024959688000000035,-0.019225291499999964,-0.01153136060000004,0.03312469100000004,0.04965652399999998,-0.227215457,-0.056508459400000044,-0.02410004560000001,-0.012190650400000003,-0.00301748150000003,0.04965652399999998,-0.22345534980000004,-0.2189807883,-0.19189261840000005,-0.15818915629999997,-0.13040322370000001,-0.23384994729999997,-0.22539280959999997,-0.20183321440000002,-0.17048563250000004,-0.1399494322,-0.23557348190000005,-0.2196036751,-0.1862736345,-0.15379581139999998,-0.1196458882,-0.07721583899999995,-0.23557348190000005,-0.21920651739999997,-0.1850462652,-0.15190065750000004,-0.11775109380000004,-0.0760252011,-0.2561324924,-0.21705292659999997,-0.1781206367,-0.1389256741,-0.09933448499999997,-0.06127867109999996,-0.23149739150000004,-0.1805956231,-0.2164856773,-0.20727695830000004,-0.2228907431,-0.18994887029999996,-0.19745098579999998,-0.18024122600000003,-0.18643883910000003,-0.22227730339999996,0.06804410000000005,-0.022993820499999984
1974,0.12337662299999996,-0.3965395627,-0.38955074479999996,-0.3371947901,-0.3874703852,-0.32317286440000004,-0.399448692,-0.3365231799,-0.3371947901,-0.33941492380000005,-0.35455074480000004,-0.3065507448,-0.36755074480000005,-0.3602055997,-0.35606720189999996,-0.3580766234,-0.41230369320000004,-0.37883361530000004,-0.37883361530000004,-0.37883361530000004,-0.3446125928,-0.11289489870000002,-0.39017662340000003,-0.13767662339999998,0.533923377,0.26142337700000007,-0.11492143519999998,-0.0855978597,-0.18267662340000002,-0.055085888599999966,-0.07347642379999997,-0.055085888599999966,-0.07524547810000004,-0.07947662339999995,-0.057122294200000034,-0.04434774939999997,-0.053871746200000015,-0.2773165137,-0.3088212791,-0.24407173380000002,-0.19655673289999998,-0.31882933570000005,-0.22755363650000004,-0.13952607039999998,-0.07699559229999997,-0.061288874099999946,-0.021441026700000032,-0.31882933570000005,-0.21126924680000003,-0.15721094999999996,-0.047456387800000055,-0.034516473599999986,-0.019724861200000054,-0.2098814162,-0.2646007403,-0.33953958230000003,-0.3080644881,-0.34606749130000003,-0.06683108380000002,-0.18698750819999999,-0.1262698808,-0.06946349230000004,-0.059566859200000044,0.005613944000000037,0.012871389999999927,-0.35840675639999997,-0.18213093410000003,-0.10844371500000005,-0.06583885550000002,-0.054279027300000005,0.012871389999999927,-0.34762937149999995,-0.3415654523,-0.3102525801,-0.2692169241,-0.1929697453,-0.3620990623,-0.34711103990000003,-0.304339484,-0.24573764509999996,-0.18263206330000004,-0.35935391549999995,-0.3334826234,-0.28022403139999996,-0.22639217730000005,-0.16615414090000002,-0.09946191339999999,-0.35935391549999995,-0.3317434936,-0.2747514606,-0.2176483522,-0.15751397310000004,-0.09385620910000003,-0.3820059775,-0.31868512969999996,-0.25551543990000003,-0.19196214030000003,-0.12776226739999996,-0.05855721079999998,-0.3005472332,-0.2501349625,-0.31495870560000006,-0.28150489990000005,-0.29372814199999997,-0.2510468739,-0.27027735779999995,-0.24718130019999995,-0.2382681484,-0.24407990059999995,0.00444764700000011,-0.1013305471
1975,0.06936416200000006,0.3154201830000001,0.30044414499999994,0.336310275,0.4150181449999999,0.4983817399999999,0.477135259,0.4609035749999999,0.336310275,0.12054208200000005,0.273444145,0.033444145000000036,0.16844414500000005,0.29483460100000003,0.28341833400000005,0.29663583800000004,0.4237114580000001,0.36789289000000003,0.36789289000000003,0.36789289000000003,0.164115212,0.26934977699999996,0.47183583800000006,-0.26466416179999996,-0.31926416179999995,-0.24776416180000005,0.07296810600000003,0.040198686000000095,0.09683583800000006,0.011905805999999908,0.09231248500000011,0.011905805999999908,0.011791169999999962,-0.0021641618000000085,0.012206834999999971,-0.012315505600000054,0.0878392400000001,0.32851007899999995,0.31504428100000004,0.243846864,0.15221025300000002,0.31315460800000006,0.24443890300000004,0.14758909800000009,0.057760940000000094,0.06734968600000002,0.023773570999999993,0.31315460800000006,0.2319324519999999,0.1608559140000001,0.03166731199999995,0.045488704000000046,0.017196466999999993,0.21378836599999995,0.32516554499999994,0.374427058,0.30739917699999997,0.35522936399999994,0.058452796999999945,0.24883321400000002,0.17761286999999992,0.0999685669999999,0.09343761000000006,0.03559177799999991,0.020938579000000068,0.41236239499999994,0.22994346500000007,0.19254692699999998,0.10005170000000008,0.08789944599999999,0.020938579000000068,0.2747935050000001,0.268854739,0.23919294599999996,0.20166740399999994,0.1420904030000001,0.30410369699999995,0.287139743,0.24336311,0.18933442699999992,0.14785277399999996,0.3318368220000001,0.301288209,0.24339206599999996,0.1885468159999999,0.12964678200000002,0.06082888800000008,0.3318368220000001,0.30004275699999994,0.2394858499999999,0.18237161899999998,0.12350434900000007,0.05686598300000001,0.30718595000000004,0.2500692520000001,0.19302718800000007,0.13566873200000007,0.07772383300000008,0.024072168000000005,0.26830114299999996,0.20278909300000003,0.23418651999999995,0.19525741400000007,0.26339370900000003,0.172661607,0.1718393359999999,0.22135827500000005,0.2037793160000001,0.2718130299999999,-0.0010920785000000377,0.05649077400000002
1976,0.04864864899999999,0.21632739,0.18837211799999998,0.28357614099999995,0.318053586,0.4150539070000001,0.4066271560000001,0.505047893,0.28357614099999995,0.4235237030000001,0.0783721180000001,-0.030627881899999987,0.3003721180000001,-0.01871450379999995,-0.02457031909999996,-0.012348648599999956,0.06184253399999995,0.02082209800000001,0.02082209800000001,0.02082209800000001,0.3129641510000001,-0.004904065800000024,-0.01744864859999995,-0.16394864860000002,-0.09204864859999995,-0.17444864859999998,0.054317179999999965,0.058038854999999945,0.1439513509999999,0.0665670060000001,-0.0516426606,0.0665670060000001,0.12004030500000007,0.06505135099999992,0.03752477800000009,0.001406301999999915,0.11909262900000006,0.21352218699999992,0.13922619300000005,0.1483751740000001,0.07697216400000007,0.09833285999999997,0.08704578499999993,0.10038188899999989,0.06600564699999989,0.06739959999999989,0.03378392599999991,0.09833285999999997,0.20364185899999998,0.16930791899999997,0.05901668999999998,0.0633975200000001,0.043636140000000045,0.20244967199999997,0.18801139199999994,0.2624414100000001,0.15648377200000008,0.16244323699999996,0.0872527569999999,0.09680840199999996,0.11665204299999998,0.13314576899999997,0.1231954449999999,0.1109231610000001,0.0834436300000001,0.1982289129999999,0.10831840599999998,0.18729431799999996,0.11664266400000001,0.11328418400000007,0.0834436300000001,0.13820774400000002,0.16626087599999995,0.16142669500000006,0.15447458300000005,0.093516728,0.10995334599999995,0.12150257200000003,0.1227917999999999,0.11832029199999994,0.09136182700000006,0.13102643400000002,0.12523948500000004,0.11623316199999989,0.10893505599999997,0.08434943800000005,0.05361490899999999,0.13102643400000002,0.12448206699999997,0.11380613900000003,0.10493531500000008,0.08043379500000003,0.0509990039999999,0.12231063200000003,0.1100948530000001,0.09906281100000003,0.08740239699999997,0.07567750300000009,0.03867077600000002,0.1519884330000001,0.1774236680000001,0.14654096399999994,0.15721816100000008,0.12016360599999998,0.12550655700000002,0.15467846100000004,0.12892042300000006,0.20547005299999999,0.14972563099999991,0.06143133699999992,0.10268474400000005
1977,0.06701030900000005,-0.11054066070000002,-0.1464831527,-0.1012692101,-0.05661146530000005,-0.018722093800000006,0.08730465399999998,0.09084545100000008,-0.1012692101,0.15381554399999997,-0.11348315269999998,-0.16348315270000002,-0.09348315269999996,0.16004017999999998,0.112927746,0.15398969100000004,0.667372474,0.43403623699999994,0.43403623699999994,0.43403623699999994,0.15537170299999992,-0.19645821350000003,0.060189690999999934,0.13268969099999994,0.156289691,0.028489691000000095,0.026496142000000056,-0.018786091099999958,-0.03611030930000003,-0.03865567670000003,0.010834001999999954,-0.03865567670000003,-0.06952476090000004,-0.041310309300000014,-0.02984765069999995,-0.01695535869999998,0.013029731999999905,0.18558736799999997,0.17993574099999998,0.08539735800000003,0.08538455899999997,0.18746384100000002,0.15968918600000004,0.049641292000000004,-0.0229548812,-0.01396603910000005,0.002788336000000058,0.18746384100000002,-0.008368157599999981,-0.020009339599999953,-0.013710528399999977,0.009422430999999953,0.011758130999999894,0.17679042500000008,0.18029909700000002,0.10559107100000009,0.193300676,0.10506500400000007,-0.018469383500000047,0.22509863100000005,0.1243864320000001,0.018124674000000063,0.015242044000000066,0.029756832999999983,0.03925381299999997,0.19009627400000007,0.1155947530000001,-0.012832482099999987,0.02606009599999992,0.014791337999999987,0.03925381299999997,0.1603166519999999,0.08643564599999998,0.05367611300000008,0.007573258000000083,0.019478050000000025,0.1063793529999999,0.06057953699999996,0.02964155699999993,-0.01118895529999997,-0.01169462050000003,0.06970985299999999,0.054547729999999905,0.030247657999999955,0.009867016999999922,-0.005188324499999952,-0.019619716899999973,0.06970985299999999,0.05430116500000004,0.029502874000000068,0.008720878000000098,-0.006304474699999951,-0.020290113499999984,-0.002308324599999967,-0.007645762300000025,-0.014355973899999985,-0.020433269099999984,-0.026637375299999988,-0.028149415799999966,0.005975398999999992,0.010902997999999942,-0.010075765900000033,0.027438269999999987,0.034426094999999934,0.03907259499999993,0.016947373000000043,0.11957532699999995,0.008963075999999903,0.05149975099999993,-0.010182772399999984,-0.05331019540000004
1978,0.09017713399999994,-0.016894386100000047,-0.03117713369999997,-0.029955218500000047,-0.004049480599999988,-0.0022977762000000457,0.08254866999999999,0.09365707599999995,-0.029955218500000047,0.0099625029999999,-0.04217713369999998,-0.005177133699999947,0.02082286600000005,0.264342922,0.23463053900000008,0.25282286600000003,0.559020834,0.4407707380000001,0.4407707380000001,0.4407707380000001,0.073557608,0.11879679499999996,0.14802286600000003,0.275522866,0.2765228660000001,0.21612286600000008,0.011322062000000077,-0.0363944571,-0.08727713370000001,-0.06980972149999998,0.006629253999999918,-0.13552953369999998,-0.10654890449999999,-0.07337713369999999,-0.05384019139999996,-0.019141066099999993,0.04087057899999991,0.14604884100000004,0.16975355199999997,0.06763746000000004,0.060818123,0.230495299,0.21407051100000007,0.0981314929999999,0.028497242999999894,-0.008141152999999957,0.012961349000000011,0.230495299,0.07900297299999992,0.052545198000000015,0.028927890000000067,0.0063349710000000226,0.01921530799999993,0.1742611249999999,0.2027446020000001,0.126603142,0.17236053299999998,0.14543739700000002,0.008381560999999982,0.24636790599999991,0.136903977,0.046555193000000106,0.04435972599999993,0.03853796799999998,0.06255134900000003,0.19060377699999997,0.14977833100000004,0.024640255,0.05709693599999999,0.04406448500000004,0.06255134900000003,0.17714026399999994,0.11458703199999998,0.07290312500000007,0.017237756999999965,0.005937789000000082,0.16842511999999998,0.12301551500000008,0.06880520200000007,0.005421284000000082,-0.014909573399999987,0.150758218,0.12586889600000006,0.08103163699999993,0.03774269400000008,0.001943228000000019,-0.03281496809999995,0.150758218,0.12214459900000008,0.06923648500000001,0.018164713,-0.018103289000000022,-0.04601879959999999,0.09560053699999993,0.06542002899999999,0.03379991799999993,0.002722781999999979,-0.02874142160000004,-0.05275453969999999,0.05804047099999998,0.02461232400000002,0.04216805200000007,0.03916935500000007,0.07930745199999989,0.04552916699999998,0.04120910700000002,0.11216841900000007,0.011013992999999944,0.07343610899999997,0.03348462699999999,-0.021746017699999953
1979,0.13293943900000005,0.09509570500000009,0.04706056099999989,0.069415381,0.1894158509999999,0.1638408280000001,0.29520427400000004,0.2183579659999999,0.069415381,0.222536324,-0.09293943869999999,0.09706056099999993,0.316060561,-0.09053273350000002,-0.08588179060000001,-0.09833943869999995,-0.1443970456,-0.11031410230000005,-0.11031410230000005,-0.11031410230000005,0.14426906000000006,-0.10043592609999996,0.25226056099999994,0.8047605609999999,1.179860561,0.195260561,-0.07477963070000004,-0.07083135600000001,-0.15473943869999995,-0.06864231409999999,-0.03513504749999996,-0.14864493869999995,-0.14027357259999995,-0.11583943870000002,-0.07079798989999997,-0.02993214529999999,0.23316775699999992,-0.026029611699999955,-0.06481666620000004,-0.05648230860000003,-0.10341674540000001,0.03367051200000004,0.1626879779999999,0.161920359,0.14624751800000002,0.079508358,0.10581421099999999,0.03367051200000004,0.2778764469999999,0.23727988,0.14824609499999997,0.09074051099999991,0.1114848289999999,0.1908958970000001,0.14524081199999994,0.0956975069999999,-0.049042878099999965,0.014602521999999896,0.15064584400000003,0.1992101610000001,0.193218267,0.21804517700000003,0.23316108400000002,0.23759604700000003,0.261684418,-0.0039937861000000074,0.20268509299999993,0.254865841,0.23194029399999994,0.232736622,0.261684418,-0.0038734953000000294,0.017486400999999985,-0.010146306700000052,-0.0425410356,-0.06315072789999998,-0.0056801031,0.00037146999999992936,-0.011771427200000018,-0.021423901000000023,-0.030707629400000047,0.0008229200000000603,-0.0075130787999999615,-0.022661025,-0.03497723159999999,-0.04737387319999997,-0.06210965099999999,0.0008229200000000603,-0.010862072699999947,-0.03333583870000001,-0.05296701940000004,-0.06604594539999997,-0.07454108960000005,0.020844330000000078,0.002422511000000016,-0.015068976200000028,-0.033097647499999994,-0.05126816639999998,-0.06437071059999999,0.046396263999999965,0.008489060999999909,0.027992526000000018,0.028326709999999977,0.005033526999999927,0.024226577999999943,0.07278577899999994,-0.009159376900000016,0.048747252000000074,0.05029184800000008,0.27618763700000004,0.058177450999999936
1980,0.1251629729999999,0.19971721900000006,0.19383702700000005,0.11610623499999995,0.19719231700000006,0.04847977700000006,0.25807055999999995,0.126334033,0.11610623499999995,0.11561101500000004,0.02283702700000001,0.18183702700000004,0.613837027,0.10443191900000004,0.09973462,0.0643370270000001,0.22444348299999994,0.13866639000000003,0.13866639000000003,0.13866639000000003,0.11281624099999998,0.15447497200000004,0.3930370270000001,0.27753702699999994,-0.0023629725999999573,-0.022562972599999953,-0.02603582520000003,-0.044336071399999955,-0.12876297260000003,-0.060865847999999945,0.026533633999999973,-0.22865887259999995,-0.15648758389999995,-0.10116297259999996,-0.056331804199999946,-0.013163771899999954,0.005922087000000076,0.04329795500000011,0.055587819000000094,0.01568137100000011,-0.0028817985000000323,0.130086535,0.11598359899999999,0.043487810000000016,0.004022313999999971,-0.022757998200000018,-0.00506682650000001,0.130086535,0.14387877299999996,0.09766414999999995,-0.0034411645999999907,-0.014602911799999951,0.0010656220000000438,0.09933318599999996,0.09932025200000005,0.13949385199999997,0.060226517999999896,0.09222726699999995,-0.046406707599999986,0.08641274099999996,0.02738194599999999,-0.007143064199999993,0.008321234000000066,-0.009911679100000015,0.01689594900000002,0.0965812909999999,0.06324686800000001,-0.0078107952000000536,0.012888092000000073,0.006828896000000029,0.01689594900000002,0.11829090399999997,0.11610760099999995,0.07488066199999999,0.026298828999999913,-0.0063548363,0.1567668579999999,0.14048675100000008,0.09213443199999993,0.04245559599999993,0.015119622999999915,0.12489862499999993,0.10509848500000007,0.067530184,0.03268455400000003,0.0016835520000000326,-0.03264527890000002,0.12489862499999993,0.09660270300000007,0.04050070100000003,-0.012458484000000047,-0.0448231107,-0.06349988159999997,0.16160309899999992,0.11807582300000008,0.07500844400000006,0.03150644199999997,-0.01242144199999995,-0.04616901029999998,0.1238276009999999,0.049327281000000056,0.11800363699999994,0.08543778899999999,0.100294404,0.08039154299999995,0.168919453,0.0771665749999999,0.0670927400000001,0.09443913600000009,0.006925722999999939,-0.019723759599999946
1981,0.089223638,-0.12776197710000003,-0.14122363849999997,-0.07844734630000005,-0.0672675506,0.009236106999999993,-0.07125956659999999,0.05748294800000009,-0.07844734630000005,-0.03197249150000003,0.08277636199999994,-0.05822363850000001,-0.3282236385,-0.09301529679999998,-0.10011383730000001,-0.032323638499999974,-0.09191368529999999,-0.046664084999999966,-0.046664084999999966,-0.046664084999999966,-0.047233192800000046,0.540172885,-0.20202363850000005,-0.0875236385,-0.4169236385,-0.32502363850000004,0.0007373939999999468,0.0060042240000000024,-0.06042363849999999,0.017006392999999953,-0.03133940690000003,-0.16320963850000003,-0.08748151209999999,-0.04562363849999995,0.01251722700000002,0.056744990000000106,-0.04942814169999998,-0.05214711240000003,-0.026809362900000022,-0.014075267199999963,-0.014721643599999945,0.035951864000000056,-0.0010740912000000158,-0.012916513399999996,-0.0012474768000000358,-0.028519488799999992,-0.0092552776,0.035951864000000056,0.0006492799999999743,-0.030872953200000053,-0.008722306999999985,-0.035106381500000006,-0.0033303765000000096,-0.07332214150000005,-0.046251830500000035,-0.02295058179999998,-0.0325468055,-0.005891883999999958,-0.07211482199999997,-0.09269778809999996,-0.10086127359999997,-0.07268168939999997,-0.05073074209999995,-0.06347996869999994,-0.037841144199999954,-0.007465839099999982,-0.06680969879999998,-0.0806313152,-0.05268194169999996,-0.05032597510000003,-0.037841144199999954,-0.0687832934,-0.07453096960000005,-0.07146248919999998,-0.06745457629999996,-0.04905056969999999,-0.10674003229999995,-0.11360020910000002,-0.12571850389999994,-0.13343035839999995,-0.11690590909999998,-0.0792114491,-0.07309985210000003,-0.05800366550000002,-0.04216169160000005,-0.0258931644,-0.0053802453000000305,-0.0792114491,-0.0818587637,-0.08592770029999997,-0.08901284180000002,-0.07418170570000004,-0.037518613399999956,-0.11386330499999997,-0.08839002380000005,-0.06307947380000001,-0.03756566419999996,-0.011797064599999962,0.008183314999999913,-0.07501995390000005,-0.05701638259999997,-0.08280594090000004,-0.07989650910000001,-0.08258377650000004,-0.055616989600000055,-0.10083229500000002,-0.03487883579999995,-0.029040981700000024,-0.031012802500000047,-0.1438555345,-0.13581078950000003
